shot_number,trigger_time,Attenuator,Blade_X,Blade_Z,Lanex1,Lead_Shield,Lens1_Z,Lens2_X,Lens2_Y,Lens2_Z,Mask_X,Mask_Z,Microscope_X,Microscope_Y,Microscope_Z,PCO_Filter,PM_R,PM_X,PM_Y,PM_Z,Positron_X,Positron_Y,Positron_Z,Probe_Delay,Probe_Filter,Probe_Iris,Target1_R,Target1_X,Target1_Y,Target1_Z,Target2_X,Target2_Y,Target2_Z
32,18:07:25,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
33,18:09:25,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
34,18:12:25,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
35,18:15:25,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
36,18:19:25,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
37,18:21:24,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
38,18:23:24,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
39,18:25:25,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
40,18:27:25,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
41,18:29:25,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
42,18:32:25,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
43,18:34:25,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
44,18:36:24,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
45,18:38:25,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
46,18:40:25,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
47,18:42:25,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
48,18:44:25,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
49,18:46:25,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
50,18:51:25,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
51,18:53:25,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
52,18:55:25,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
53,18:57:25,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
54,18:59:24,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
55,19:01:24,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
56,19:03:25,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
57,19:05:24,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
58,19:07:24,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
1,13:13:35,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
2,13:21:05,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
3,13:26:05,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
4,13:27:05,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
5,13:29:05,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
6,13:32:05,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
7,13:33:05,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
8,13:35:05,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
9,13:36:05,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
10,13:45:05,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
11,13:48:05,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
12,13:49:05,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
13,13:51:04,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,867.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,32.5,26.75,20.5,-5.275,-30.175,1.8
